OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE
NARCOTICS,FOUND SUSPECT NARCOTICS,HOSPITAL BUILDING/GROUNDS
ROBBERY,ARMED: OTHER DANGEROUS WEAPON,PARKING LOT/GARAGE(NON.RESID.)
MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET
MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET
SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,PARK PROPERTY
OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT
NARCOTICS,POSS: COCAINE,STREET
NARCOTICS,FOUND SUSPECT NARCOTICS,CTA BUS
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET
DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,BANK
NARCOTICS,FOUND SUSPECT NARCOTICS,STREET
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE
ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,OTHER
BURGLARY,HOME INVASION,RESIDENCE
DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE
LIQUOR LAW VIOLATION,ILLEGAL CONSUMPTION BY MINOR,STREET
OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER
ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK
BATTERY,AGGRAVATED OF A SENIOR CITIZEN,RESIDENCE
THEFT,POCKET-PICKING,OTHER
MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET
OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE
ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,RESIDENCE
ARSON,BY FIRE,VEHICLE NON-COMMERCIAL
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,STREET
DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM
DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,RESIDENCE
OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT
NARCOTICS,MANU/DELIVER:COCAINE,RESIDENCE
NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY
NARCOTICS,POSS: SYNTHETIC DRUGS,GAS STATION
KIDNAPPING,KIDNAPPING,STREET
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET
ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING"
MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET
DECEPTIVE PRACTICE,FORGERY,OTHER
NARCOTICS,ALTER/FORGE PRESCRIPTION,STREET
THEFT,PURSE-SNATCHING,STREET
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT
NARCOTICS,ATTEMPT POSSESSION CANNABIS,SIDEWALK
MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,HOSPITAL BUILDING/GROUNDS
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,SMALL RETAIL STORE
NARCOTICS,POSS: COCAINE,SIDEWALK
OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE
BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE
DECEPTIVE PRACTICE,FORGERY,BANK
DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE
DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,RESTAURANT
SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,SIDEWALK
OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET
MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET
MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET
WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,SIDEWALK
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE
