OTHER OFFENSE,RESIDENCE
NARCOTICS,HOSPITAL BUILDING/GROUNDS
ROBBERY,PARKING LOT/GARAGE(NON.RESID.)
MOTOR VEHICLE THEFT,STREET
MOTOR VEHICLE THEFT,STREET
SEX OFFENSE,PARK PROPERTY
OFFENSE INVOLVING CHILDREN,APARTMENT
NARCOTICS,STREET
NARCOTICS,CTA BUS
OTHER OFFENSE,STREET
DECEPTIVE PRACTICE,BANK
NARCOTICS,STREET
OTHER OFFENSE,RESIDENCE
ROBBERY,OTHER
BURGLARY,RESIDENCE
DECEPTIVE PRACTICE,RESIDENCE
LIQUOR LAW VIOLATION,STREET
OTHER OFFENSE,OTHER
ROBBERY,SIDEWALK
BATTERY,RESIDENCE
THEFT,OTHER
MOTOR VEHICLE THEFT,STREET
OTHER OFFENSE,RESIDENCE
ROBBERY,RESIDENCE
ARSON,VEHICLE NON-COMMERCIAL
DECEPTIVE PRACTICE,STREET
DECEPTIVE PRACTICE,CTA PLATFORM
DECEPTIVE PRACTICE,RESIDENCE
OFFENSE INVOLVING CHILDREN,RESIDENCE
DECEPTIVE PRACTICE,APARTMENT
NARCOTICS,RESIDENCE
NARCOTICS,ALLEY
NARCOTICS,GAS STATION
KIDNAPPING,STREET
ASSAULT,STREET
ASSAULT,"SCHOOL, PUBLIC, BUILDING"
MOTOR VEHICLE THEFT,STREET
DECEPTIVE PRACTICE,OTHER
NARCOTICS,STREET
THEFT,STREET
DECEPTIVE PRACTICE,APARTMENT
NARCOTICS,SIDEWALK
MOTOR VEHICLE THEFT,HOSPITAL BUILDING/GROUNDS
DECEPTIVE PRACTICE,SMALL RETAIL STORE
NARCOTICS,SIDEWALK
OTHER OFFENSE,RESIDENCE
OTHER OFFENSE,RESIDENCE
BATTERY,RESIDENCE
DECEPTIVE PRACTICE,BANK
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,RESTAURANT
SEX OFFENSE,SIDEWALK
OFFENSE INVOLVING CHILDREN,RESIDENCE
ASSAULT,STREET
MOTOR VEHICLE THEFT,STREET
MOTOR VEHICLE THEFT,STREET
WEAPONS VIOLATION,SIDEWALK
OTHER OFFENSE,RESIDENCE
OTHER OFFENSE,RESIDENCE
OTHER OFFENSE,STREET
ROBBERY,SIDEWALK
BATTERY,CHA PARKING LOT/GROUNDS
ASSAULT,RESIDENCE
THEFT,OTHER
ARSON,"SCHOOL, PUBLIC, GROUNDS"
OFFENSE INVOLVING CHILDREN,CHA APARTMENT
PUBLIC PEACE VIOLATION,STREET
ASSAULT,RESIDENCE
ASSAULT,ALLEY
BURGLARY,OTHER RAILROAD PROP / TRAIN DEPOT
THEFT,SMALL RETAIL STORE
DECEPTIVE PRACTICE,RESIDENCE
CRIMINAL TRESPASS,RESIDENCE
DECEPTIVE PRACTICE,COMMERCIAL / BUSINESS OFFICE
DECEPTIVE PRACTICE,OTHER
NARCOTICS,STREET
OTHER OFFENSE,VEHICLE NON-COMMERCIAL
THEFT,RESIDENCE
MOTOR VEHICLE THEFT,STREET
MOTOR VEHICLE THEFT,OTHER
CRIMINAL DAMAGE,PARK PROPERTY
ROBBERY,SIDEWALK
ASSAULT,SIDEWALK
THEFT,RESTAURANT
MOTOR VEHICLE THEFT,STREET
OFFENSE INVOLVING CHILDREN,RESIDENCE
CRIM SEXUAL ASSAULT,RESIDENCE
BATTERY,"SCHOOL, PUBLIC, BUILDING"
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,OTHER
ROBBERY,SMALL RETAIL STORE
ROBBERY,DRIVEWAY - RESIDENTIAL
PUBLIC PEACE VIOLATION,STREET
BATTERY,STREET
MOTOR VEHICLE THEFT,DRIVEWAY - RESIDENTIAL
DECEPTIVE PRACTICE,APARTMENT
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,OTHER
LIQUOR LAW VIOLATION,RESTAURANT
PUBLIC PEACE VIOLATION,RESIDENCE
CRIMINAL DAMAGE,RESIDENCE
CRIMINAL TRESPASS,RESIDENCE PORCH/HALLWAY
SEX OFFENSE,CTA PLATFORM
THEFT,STREET
DECEPTIVE PRACTICE,RESIDENCE
CRIMINAL DAMAGE,PARK PROPERTY
BATTERY,CTA STATION
BATTERY,STREET
OFFENSE INVOLVING CHILDREN,RESIDENCE
SEX OFFENSE,ALLEY
OTHER OFFENSE,RESIDENCE PORCH/HALLWAY
DECEPTIVE PRACTICE,BANK
ROBBERY,ALLEY
MOTOR VEHICLE THEFT,STREET
THEFT,RESIDENCE
SEX OFFENSE,PARK PROPERTY
OTHER OFFENSE,RESIDENCE
NARCOTICS,PARKING LOT/GARAGE(NON.RESID.)
ROBBERY,STREET
OTHER OFFENSE,RESIDENCE
PUBLIC PEACE VIOLATION,RESIDENCE
NARCOTICS,RESIDENCE
OTHER OFFENSE,VEHICLE NON-COMMERCIAL
BATTERY,CHA APARTMENT
DECEPTIVE PRACTICE,CTA PLATFORM
DECEPTIVE PRACTICE,CTA PLATFORM
ROBBERY,STREET
ARSON,VEHICLE NON-COMMERCIAL
THEFT,SIDEWALK
ROBBERY,PARKING LOT/GARAGE(NON.RESID.)
DECEPTIVE PRACTICE,OTHER
PUBLIC PEACE VIOLATION,SIDEWALK
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,OTHER
OTHER OFFENSE,COMMERCIAL / BUSINESS OFFICE
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,RESIDENCE
OTHER OFFENSE,RESIDENCE
BATTERY,RESIDENCE
ASSAULT,STREET
MOTOR VEHICLE THEFT,STREET
CRIMINAL DAMAGE,PARK PROPERTY
BATTERY,PARK PROPERTY
THEFT,RESIDENCE
THEFT,STREET
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,BAR OR TAVERN
DECEPTIVE PRACTICE,OTHER
NARCOTICS,SIDEWALK
BATTERY,"SCHOOL, PUBLIC, BUILDING"
CRIMINAL TRESPASS,STREET
NARCOTICS,STREET
BATTERY,RESIDENCE PORCH/HALLWAY
DECEPTIVE PRACTICE,RESIDENCE
CRIMINAL TRESPASS,RESIDENCE
ASSAULT,RESIDENCE
ASSAULT,STREET
ASSAULT,CHA PARKING LOT/GROUNDS
PUBLIC PEACE VIOLATION,CHA PARKING LOT/GROUNDS
ASSAULT,RESIDENCE
DECEPTIVE PRACTICE,RESIDENCE
MOTOR VEHICLE THEFT,STREET
DECEPTIVE PRACTICE,RESIDENCE
BURGLARY,CHA APARTMENT
OTHER OFFENSE,RESIDENCE
PUBLIC PEACE VIOLATION,STREET
CRIM SEXUAL ASSAULT,RESIDENCE
HOMICIDE,STREET
CRIMINAL DAMAGE,RESIDENCE-GARAGE
CRIMINAL TRESPASS,RESIDENTIAL YARD (FRONT/BACK)
BURGLARY,OTHER
NARCOTICS,SIDEWALK
CRIMINAL DAMAGE,VEHICLE NON-COMMERCIAL
MOTOR VEHICLE THEFT,RESIDENCE
INTIMIDATION,STREET
MOTOR VEHICLE THEFT,ALLEY
CRIMINAL DAMAGE,STREET
CRIMINAL DAMAGE,SMALL RETAIL STORE
ASSAULT,RESIDENTIAL YARD (FRONT/BACK)
SEX OFFENSE,CTA BUS
CRIMINAL DAMAGE,"SCHOOL, PUBLIC, BUILDING"
CRIMINAL DAMAGE,ALLEY
OTHER OFFENSE,RESIDENCE
DECEPTIVE PRACTICE,BANK
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,CURRENCY EXCHANGE
MOTOR VEHICLE THEFT,OTHER
THEFT,SIDEWALK
CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.)
OFFENSE INVOLVING CHILDREN,RESIDENCE
CRIMINAL DAMAGE,RESIDENCE-GARAGE
THEFT,RESIDENCE
BATTERY,APARTMENT
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,APARTMENT
OFFENSE INVOLVING CHILDREN,RESIDENCE
DECEPTIVE PRACTICE,GROCERY FOOD STORE
DECEPTIVE PRACTICE,RESTAURANT
LIQUOR LAW VIOLATION,STREET
ROBBERY,SIDEWALK
ROBBERY,STREET
ROBBERY,STREET
THEFT,RESIDENCE
THEFT,RESTAURANT
THEFT,SIDEWALK
THEFT,CTA BUS STOP
MOTOR VEHICLE THEFT,STREET
MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.)
MOTOR VEHICLE THEFT,STREET
MOTOR VEHICLE THEFT,STREET
MOTOR VEHICLE THEFT,STREET
MOTOR VEHICLE THEFT,ALLEY
MOTOR VEHICLE THEFT,ALLEY
ARSON,DRIVEWAY - RESIDENTIAL
DECEPTIVE PRACTICE,BANK
DECEPTIVE PRACTICE,RESTAURANT
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,COMMERCIAL / BUSINESS OFFICE
DECEPTIVE PRACTICE,COMMERCIAL / BUSINESS OFFICE
DECEPTIVE PRACTICE,APARTMENT
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,ATM (AUTOMATIC TELLER MACHINE)
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,CTA PLATFORM
CRIMINAL DAMAGE,RESIDENCE-GARAGE
CRIMINAL DAMAGE,STREET
CRIMINAL DAMAGE,ALLEY
CRIMINAL DAMAGE,OTHER
CRIMINAL DAMAGE,GOVERNMENT BUILDING/PROPERTY
CRIMINAL DAMAGE,STREET
CRIMINAL DAMAGE,SIDEWALK
WEAPONS VIOLATION,STREET
WEAPONS VIOLATION,CTA BUS STOP
WEAPONS VIOLATION,RESIDENCE
WEAPONS VIOLATION,"SCHOOL, PUBLIC, BUILDING"
NARCOTICS,STREET
NARCOTICS,SIDEWALK
NARCOTICS,RESIDENCE
NARCOTICS,SIDEWALK
NARCOTICS,SMALL RETAIL STORE
NARCOTICS,RESIDENCE
NARCOTICS,SIDEWALK
OFFENSE INVOLVING CHILDREN,RESIDENCE PORCH/HALLWAY
LIQUOR LAW VIOLATION,GROCERY FOOD STORE
LIQUOR LAW VIOLATION,CONVENIENCE STORE
PUBLIC PEACE VIOLATION,SPORTS ARENA/STADIUM
PUBLIC PEACE VIOLATION,ALLEY
PUBLIC PEACE VIOLATION,"SCHOOL, PUBLIC, GROUNDS"
PUBLIC PEACE VIOLATION,SIDEWALK
PUBLIC PEACE VIOLATION,RESIDENCE
INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
CRIMINAL TRESPASS,STREET
CRIMINAL TRESPASS,OTHER
CRIMINAL TRESPASS,STREET
CRIMINAL TRESPASS,STREET
CRIMINAL TRESPASS,RESIDENCE
CRIMINAL TRESPASS,RESIDENCE
OFFENSE INVOLVING CHILDREN,RESIDENCE
OFFENSE INVOLVING CHILDREN,DAY CARE CENTER
OTHER OFFENSE,"SCHOOL, PUBLIC, BUILDING"
OTHER OFFENSE,RESIDENCE
OTHER OFFENSE,"SCHOOL, PUBLIC, BUILDING"
INTIMIDATION,OTHER
KIDNAPPING,RESIDENCE
OTHER OFFENSE,SIDEWALK
OTHER OFFENSE,GAS STATION
OTHER OFFENSE,STREET
OTHER OFFENSE,RESIDENCE
OTHER OFFENSE,RESIDENCE
OTHER OFFENSE,RESIDENCE
OTHER OFFENSE,SIDEWALK
OTHER OFFENSE,WAREHOUSE
OTHER OFFENSE,ALLEY
NON-CRIMINAL,CTA TRAIN
HOMICIDE,ALLEY
HOMICIDE,APARTMENT
ASSAULT,GROCERY FOOD STORE
ASSAULT,STREET
ASSAULT,ALLEY
BATTERY,ALLEY
BATTERY,CHA PARKING LOT/GROUNDS
BATTERY,ALLEY
BATTERY,OTHER RAILROAD PROP / TRAIN DEPOT
BATTERY,SIDEWALK
BATTERY,SIDEWALK
BATTERY,PARKING LOT/GARAGE(NON.RESID.)
BATTERY,RESIDENCE
BATTERY,STREET
ASSAULT,CTA BUS
BATTERY,PARK PROPERTY
BATTERY,RESIDENCE
BATTERY,RESIDENCE
BATTERY,"SCHOOL, PUBLIC, BUILDING"
ROBBERY,STREET
ROBBERY,STREET
MOTOR VEHICLE THEFT,STREET
MOTOR VEHICLE THEFT,OTHER
DECEPTIVE PRACTICE,SIDEWALK
DECEPTIVE PRACTICE,STREET
THEFT,RESIDENCE
DECEPTIVE PRACTICE,OTHER
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,RESIDENCE
BATTERY,RESIDENCE
MOTOR VEHICLE THEFT,STREET
GAMBLING,ALLEY
CRIM SEXUAL ASSAULT,HOTEL/MOTEL
CRIM SEXUAL ASSAULT,RESIDENCE
CRIM SEXUAL ASSAULT,HOTEL/MOTEL
ASSAULT,"SCHOOL, PUBLIC, BUILDING"
ASSAULT,"SCHOOL, PUBLIC, BUILDING"
MOTOR VEHICLE THEFT,STREET
MOTOR VEHICLE THEFT,STREET
ARSON,APARTMENT
DECEPTIVE PRACTICE,RESIDENCE
GAMBLING,SIDEWALK
OTHER OFFENSE,RESIDENCE
OTHER OFFENSE,STREET
OTHER OFFENSE,STREET
HOMICIDE,STREET
CRIM SEXUAL ASSAULT,STREET
CRIM SEXUAL ASSAULT,RESIDENCE
ASSAULT,STREET
MOTOR VEHICLE THEFT,STREET
CRIMINAL TRESPASS,RESIDENCE
WEAPONS VIOLATION,CHA PARKING LOT/GROUNDS
OFFENSE INVOLVING CHILDREN,"SCHOOL, PUBLIC, BUILDING"
OFFENSE INVOLVING CHILDREN,RESIDENCE
NARCOTICS,CHA PARKING LOT/GROUNDS
INTERFERENCE WITH PUBLIC OFFICER,RESIDENCE
BATTERY,"SCHOOL, PUBLIC, BUILDING"
BATTERY,STREET
BATTERY,STREET
ASSAULT,STREET
ASSAULT,"SCHOOL, PUBLIC, BUILDING"
MOTOR VEHICLE THEFT,STREET
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,RESIDENCE
CRIMINAL DAMAGE,RESIDENCE-GARAGE
CRIMINAL TRESPASS,RESIDENCE
OFFENSE INVOLVING CHILDREN,RESIDENCE
NARCOTICS,BARBERSHOP
NARCOTICS,SIDEWALK
NARCOTICS,STREET
OTHER OFFENSE,STREET
PUBLIC PEACE VIOLATION,SIDEWALK
DECEPTIVE PRACTICE,BANK
CRIMINAL DAMAGE,CTA PLATFORM
NARCOTICS,STREET
PUBLIC PEACE VIOLATION,STREET
ASSAULT,RESIDENCE
CRIMINAL DAMAGE,RESTAURANT
CRIMINAL DAMAGE,RESIDENCE-GARAGE
OTHER OFFENSE,STREET
MOTOR VEHICLE THEFT,STREET
ARSON,RESIDENCE
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,STREET
DECEPTIVE PRACTICE,ALLEY
OTHER OFFENSE,RESIDENCE
OTHER OFFENSE,APARTMENT
MOTOR VEHICLE THEFT,ALLEY
DECEPTIVE PRACTICE,RESIDENCE
DECEPTIVE PRACTICE,RESIDENCE
OFFENSE INVOLVING CHILDREN,RESTAURANT
OTHER OFFENSE,RESIDENCE
OTHER OFFENSE,RESIDENCE
OTHER OFFENSE,GAS STATION
DECEPTIVE PRACTICE,BANK
MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.)
CRIMINAL DAMAGE,OTHER
CRIMINAL DAMAGE,OTHER
CRIMINAL TRESPASS,SIDEWALK
OFFENSE INVOLVING CHILDREN,RESIDENCE
NARCOTICS,PARKING LOT/GARAGE(NON.RESID.)
BURGLARY,RESIDENCE
INTERFERENCE WITH PUBLIC OFFICER,CTA PLATFORM
HOMICIDE,HOUSE
BATTERY,STREET
DECEPTIVE PRACTICE,CURRENCY EXCHANGE
OTHER OFFENSE,COMMERCIAL / BUSINESS OFFICE
OTHER OFFENSE,APARTMENT
CRIM SEXUAL ASSAULT,RESIDENCE
THEFT,STREET
DECEPTIVE PRACTICE,RESIDENCE
CRIMINAL TRESPASS,RESIDENCE-GARAGE
GAMBLING,STREET
DECEPTIVE PRACTICE,RESIDENCE
CRIMINAL DAMAGE,STREET
WEAPONS VIOLATION,ALLEY
INTIMIDATION,RESIDENCE
OTHER OFFENSE,RESIDENCE
DECEPTIVE PRACTICE,BANK
WEAPONS VIOLATION,"SCHOOL, PUBLIC, BUILDING"
MOTOR VEHICLE THEFT,STREET
ASSAULT,"SCHOOL, PUBLIC, BUILDING"
THEFT,RESIDENCE
DECEPTIVE PRACTICE,RESIDENCE
MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.)
DECEPTIVE PRACTICE,OTHER
WEAPONS VIOLATION,ALLEY
OTHER OFFENSE,STREET
CRIMINAL DAMAGE,RESIDENCE-GARAGE
CRIMINAL DAMAGE,RESIDENCE-GARAGE
DECEPTIVE PRACTICE,BANK
SEX OFFENSE,SIDEWALK
CRIMINAL TRESPASS,RESIDENCE
MOTOR VEHICLE THEFT,DRIVEWAY - RESIDENTIAL
BATTERY,SIDEWALK
CRIMINAL DAMAGE,"SCHOOL, PUBLIC, BUILDING"
BATTERY,STREET
PUBLIC INDECENCY,PARK PROPERTY
THEFT,CTA BUS
CRIMINAL DAMAGE,PARK PROPERTY
ASSAULT,STREET
DECEPTIVE PRACTICE,STREET
MOTOR VEHICLE THEFT,STREET
PUBLIC PEACE VIOLATION,CTA PLATFORM
BATTERY,CTA TRAIN
DECEPTIVE PRACTICE,RESTAURANT
KIDNAPPING,STREET
ROBBERY,STREET
OFFENSE INVOLVING CHILDREN,RESIDENCE
INTIMIDATION,RESIDENCE
ASSAULT,RESIDENCE
DECEPTIVE PRACTICE,RESIDENCE
ASSAULT,"SCHOOL, PUBLIC, BUILDING"
ASSAULT,"SCHOOL, PUBLIC, BUILDING"
CRIMINAL TRESPASS,RESIDENCE
CRIMINAL DAMAGE,RESIDENCE
DECEPTIVE PRACTICE,SIDEWALK
DECEPTIVE PRACTICE,STREET
ASSAULT,HOSPITAL BUILDING/GROUNDS
BATTERY,STREET
MOTOR VEHICLE THEFT,STREET
DECEPTIVE PRACTICE,RESIDENCE
ASSAULT,RESIDENCE
PUBLIC PEACE VIOLATION,COLLEGE/UNIVERSITY GROUNDS
BATTERY,RESIDENCE
CRIMINAL DAMAGE,STREET
ROBBERY,STREET
MOTOR VEHICLE THEFT,OTHER
ASSAULT,ALLEY
DECEPTIVE PRACTICE,OTHER
CRIMINAL DAMAGE,STREET
ASSAULT,"SCHOOL, PRIVATE, BUILDING"
HOMICIDE,STREET
ASSAULT,PARKING LOT/GARAGE(NON.RESID.)
OTHER OFFENSE,RESIDENCE
THEFT,STREET
ARSON,DRIVEWAY - RESIDENTIAL
WEAPONS VIOLATION,RESIDENCE
NARCOTICS,SIDEWALK
MOTOR VEHICLE THEFT,WAREHOUSE
DECEPTIVE PRACTICE,RESIDENTIAL YARD (FRONT/BACK)
DECEPTIVE PRACTICE,RESIDENCE
CRIMINAL DAMAGE,STREET
DECEPTIVE PRACTICE,GROCERY FOOD STORE
NARCOTICS,RESIDENCE-GARAGE
DECEPTIVE PRACTICE,GROCERY FOOD STORE
DECEPTIVE PRACTICE,APARTMENT
CRIMINAL DAMAGE,CLEANING STORE
